"origin","destination","in 1990","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"Viet Nam","Belgium",4821,6846,7617,7976,8228,8495,8790
"Armenia","Belgium",81,211,342,1382,1423,2144,3107
"Iraq","Belgium",556,1493,2446,6770,15603,21276,24557
"Israel","Belgium",1848,2585,3058,3454,3519,3442,3589
"Lebanon","Belgium",2311,3447,4210,5624,6557,8813,12974
"State of Palestine","Belgium",26,66,108,304,715,4387,8383
"Syrian Arab Republic","Belgium",1011,2130,3093,5121,15951,35717,50068
"Türkiye","Belgium",52855,67990,82419,95423,98267,101992,110089
"Bulgaria","Belgium",1030,1904,4994,16572,30100,41142,51857
"Hungary","Belgium",5872,5472,5903,7031,8093,8143,8518
"Poland","Belgium",19672,18632,26931,54771,74634,77386,79624
"Republic of Moldova*","Belgium",9,22,71,282,885,3193,6913
"Romania","Belgium",3390,6430,11526,33976,68553,100844,131417
"Russian Federation","Belgium",93,241,1313,5930,7027,8436,10232
"Ukraine*","Belgium",40,104,319,770,1524,3464,82974
"Finland*","Belgium",1018,2703,2816,2823,2554,2549,2596
"Ireland","Belgium",1898,2917,2913,3039,3340,3439,3823
"Latvia","Belgium",44,113,318,741,1440,1957,2466
"Lithuania","Belgium",51,135,391,1068,1814,2650,3341
"Sweden","Belgium",2149,4025,3957,3844,3304,3119,3319
"United Kingdom*","Belgium",24980,26413,25099,23687,22370,22737,22271
"Albania","Belgium",691,1080,2946,6820,9614,12749,16175
"Greece","Belgium",15026,15234,14752,14273,16409,18219,19720
"Italy","Belgium",149461,134558,125869,120326,120063,118495,116143
"North Macedonia","Belgium",14,36,147,964,1323,1819,2492
"Portugal","Belgium",13618,20900,23054,27915,34788,37583,40781
"Spain*","Belgium",40354,37236,35606,37826,46582,50690,58242
"Austria","Belgium",2711,3146,3236,3266,3325,3304,3408
"France*","Belgium",147728,151704,155088,173219,183005,188926,196995
"Germany","Belgium",70103,83129,83532,84151,81321,79683,79619
"Luxembourg","Belgium",9624,10397,11074,12431,13431,14609,16076
"Netherlands*","Belgium",79743,94048,109559,125625,128975,131369,136488
"Switzerland","Belgium",4016,4287,4550,4891,5085,5399,5711
"Dominican Republic","Belgium",140,595,1222,2064,2719,3172,3608
"El Salvador","Belgium",137,239,317,397,569,2691,2981
"Mexico","Belgium",621,1088,1439,1929,2420,3271,3940
"Argentina","Belgium",1264,1581,1769,2001,2319,2785,3485
"Brazil","Belgium",2040,4228,6087,9848,12913,18018,24464
"Chile","Belgium",2513,3247,3690,4042,4220,4360,4639
"Colombia","Belgium",1256,2565,3669,5057,6217,7888,9685
"Ecuador","Belgium",520,1562,2708,4783,6182,6782,7478
"Peru","Belgium",891,1708,2365,3175,3612,4110,4891
"Suriname","Belgium",336,551,707,1267,3197,5346,6731
"Venezuela (Bolivarian Republic of)","Belgium",371,656,871,1141,1559,3227,4270
"Canada","Belgium",3312,4078,4525,4841,4920,5047,5070
"United States of America*","Belgium",12619,13850,14244,15396,16025,16216,16645
"Comoros","France*",11795,23308,31161,37167,106284,151438,231788
"Madagascar","France*",64444,88703,107695,116848,133839,150882,162751
"Mauritius","France*",26616,34862,39349,41871,43746,44179,44709
"Cameroon","France*",26305,41280,64858,80804,97288,114528,127995
"Congo","France*",21122,46017,58914,67995,78314,87925,94890
"Democratic Republic of the Congo","France*",25468,29886,50146,66968,86202,104663,120178
"Gabon","France*",7841,12004,17406,19836,23500,31774,36785
"Algeria","France*",1344293,1270907,1349852,1359784,1380732,1407480,1405235
"Egypt","France*",20733,22749,27143,29973,33678,35106,36806
"Morocco","France*",648162,738219,841287,890602,961153,1027490,1066129
"Sudan","France*",552,1383,2168,3370,8073,19817,31621
"Tunisia","France*",357940,346578,364524,375588,400786,429918,444223
"Benin","France*",9930,13208,17912,19798,23132,28360,31581
"Cabo Verde","France*",7645,13572,18434,22975,30310,31783,34814
"Côte d'Ivoire","France*",32909,51245,76803,90122,111792,144739,169206
"Guinea","France*",10278,9952,22271,30205,41415,69716,92446
"Mali","France*",32674,43739,58965,69346,82137,106194,120393
"Senegal","France*",69964,86703,101387,115011,135054,160065,176632
"China","France*",18863,42871,73324,96880,110174,114237,120595
"Afghanistan","France*",1431,2770,3520,4821,12311,31434,89849
"India","France*",21247,32732,41999,47392,53809,61647,66688
"Pakistan","France*",9526,12724,16935,20229,26302,31711,36278
"Sri Lanka","France*",11877,26856,34587,41227,52041,52623,56880
"Cambodia","France*",58110,56609,58713,60055,58558,58212,57402
"Lao People's Democratic Republic","France*",44300,41746,41689,40198,39013,37967,36591
"Viet Nam","France*",112690,116022,119345,119051,117595,117857,116008
"Armenia","France*",2455,6873,12912,21115,30530,36445,42785
"Lebanon","France*",36118,36320,42447,44452,45265,49532,51485
"Syrian Arab Republic","France*",12740,13417,15471,16231,27304,45399,60670
"Türkiye","France*",171382,189941,234092,256503,259457,259787,260167
"Bulgaria","France*",3976,8541,13480,18763,27173,32257,35728
"Poland","France*",135534,105594,101355,102516,99892,90100,84406
"Republic of Moldova*","France*",237,971,4161,8004,17693,33951,54287
"Romania","France*",15808,28298,44562,75414,121011,142701,156668
"Russian Federation","France*",21810,20002,35664,54203,72194,77376,85277
"Ukraine*","France*",2901,7158,12336,16539,23467,31996,99261
"United Kingdom*","France*",62813,95822,146425,169427,166060,164960,163042
"Albania","France*",1134,3185,5816,7342,17618,34341,54967
"Italy","France*",507447,401918,373623,340016,323277,318801,303685
"Portugal","France*",603067,582213,589757,615617,648445,621051,585896
"Serbia*","France*",0,612,44511,74404,81883,91340,96840
"Spain*","France*",418359,334416,306890,283624,285827,276834,254830
"Belgium","France*",125924,128613,138817,147518,153412,165124,169102
"Germany","France*",208195,218258,224529,218132,207393,191298,189761
"Luxembourg","France*",10193,10381,12099,13413,16173,16121,32587
"Monaco","France*",13823,14407,17510,23895,26366,31746,34658
"Netherlands*","France*",21603,30219,37698,40337,39871,39848,40630
"Switzerland","France*",68922,77962,85038,91311,96510,95249,96066
"Haiti","France*",15054,47091,65780,75919,90053,105761,116971
"Brazil","France*",13799,29975,43576,56678,69604,68818,72483
"Colombia","France*",8224,14989,22420,27206,31276,38553,43218
"Suriname","France*",10446,16057,22216,23644,25096,32289,34228
"United States of America*","France*",34346,41969,48080,51938,54702,57596,59171
"Morocco","Germany",51179,88300,90887,92469,107252,126665,156555
"Kazakhstan","Germany",215522,348925,613145,808562,849840,872932,896268
"China","Germany",11932,43411,70885,80683,117274,152761,168314
"Afghanistan","Germany",607,21132,46763,77856,101950,265648,358767
"India","Germany",32522,40419,45157,52489,86572,152372,267343
"Iran (Islamic Republic of)","Germany",107679,130940,125839,120737,96409,185393,283454
"Viet Nam","Germany",17817,87179,88430,91671,95193,112160,140939
"Iraq","Germany",26087,70439,89547,92449,114598,248322,263918
"Syrian Arab Republic","Germany",20052,35902,39393,41261,203711,687147,860697
"Türkiye","Germany",1004022,1561548,1392656,1354238,1303078,1326045,1504743
"Bulgaria","Germany",34540,51558,55861,76221,174357,295226,338439
"Czechia","Germany",344287,406132,427173,437143,389507,350970,344686
"Hungary","Germany",121600,131370,128807,136334,185593,206199,212221
"Poland","Germany",989687,1201741,1299499,1513519,1718230,1797038,1883559
"Romania","Germany",321795,399018,373304,440929,654819,865707,968697
"Russian Federation","Germany",230622,423106,683182,857409,954413,1038231,1137448
"Ukraine*","Germany",124109,175431,209291,212008,235921,269725,1416521
"Bosnia and Herzegovina","Germany",32000,155037,157972,162323,187192,252498,320423
"Croatia","Germany",64486,167650,174209,170139,198532,266440,271197
"Greece","Germany",200676,248871,204043,174088,222947,248036,242582
"Italy","Germany",354483,416103,357276,336507,390678,439709,436759
"North Macedonia","Germany",0,46355,56407,58887,83304,108175,147204
"Serbia*","Germany",4423,16239,31115,43795,181469,227380,303740
"Spain*","Germany",99765,96669,75548,72088,118056,145118,166899
"Austria","Germany",210734,214600,208833,209053,211754,214565,213019
"France*","Germany",83304,113584,107970,116501,135841,153730,155932
"United States of America*","Germany",78103,113573,103815,110310,128204,144138,152501
"Eritrea","Liechtenstein",0,0,0,0,7,16,17
"Ethiopia","Liechtenstein",0,0,0,6,10,9,10
"Kenya","Liechtenstein",0,0,0,5,6,8,9
"Madagascar","Liechtenstein",0,0,0,0,2,1,1
"Mauritius","Liechtenstein",0,0,0,2,1,1,1
"Mozambique","Liechtenstein",0,0,0,4,3,2,2
"Seychelles","Liechtenstein",0,0,0,1,1,0,0
"Somalia","Liechtenstein",0,0,0,3,18,24,26
"Uganda","Liechtenstein",0,0,0,1,1,0,0
"United Republic of Tanzania","Liechtenstein",0,0,0,3,3,2,2
"Zambia","Liechtenstein",0,0,0,0,1,0,0
"Zimbabwe","Liechtenstein",0,0,0,5,3,4,4
"Angola","Liechtenstein",0,0,0,7,7,7,7
"Cameroon","Liechtenstein",0,0,0,5,5,3,3
"Democratic Republic of the Congo","Liechtenstein",0,0,0,2,3,4,4
"Algeria","Liechtenstein",0,0,0,4,6,6,6
"Egypt","Liechtenstein",0,0,0,13,19,19,20
"Libya","Liechtenstein",0,0,0,1,1,0,0
"Morocco","Liechtenstein",0,0,0,11,15,15,16
"Tunisia","Liechtenstein",0,0,8,18,24,22,24
"South Africa","Liechtenstein",0,1,15,30,34,30,32
"Burkina Faso","Liechtenstein",0,0,0,1,2,1,1
"Côte d'Ivoire","Liechtenstein",0,0,0,1,0,0,0
"Gambia","Liechtenstein",0,0,0,1,0,0,0
"Guinea","Liechtenstein",0,0,0,1,0,0,0
"Nigeria","Liechtenstein",0,0,0,4,6,6,6
"Senegal","Liechtenstein",0,0,0,1,2,2,2
"Kazakhstan","Liechtenstein",0,0,0,5,5,9,10
"Kyrgyzstan","Liechtenstein",0,0,0,3,4,3,3
"Uzbekistan","Liechtenstein",0,0,0,1,4,3,3
"China","Liechtenstein",28,52,58,66,81,113,121
"Japan","Liechtenstein",0,0,0,14,13,18,19
"Republic of Korea","Liechtenstein",0,0,0,4,4,4,4
"Afghanistan","Liechtenstein",0,0,0,3,4,6,6
"Bangladesh","Liechtenstein",0,0,0,2,2,6,6
"India","Liechtenstein",0,0,11,23,27,27,29
"Iran (Islamic Republic of)","Liechtenstein",0,0,0,8,11,13,14
"Maldives","Liechtenstein",0,0,0,2,2,1,1
"Nepal","Liechtenstein",0,0,0,2,4,1,1
"Pakistan","Liechtenstein",0,0,0,4,7,7,7
"Sri Lanka","Liechtenstein",0,0,0,7,8,8,9
"Cambodia","Liechtenstein",0,0,0,3,4,2,2
"Indonesia","Liechtenstein",0,0,0,4,8,9,10
"Lao People's Democratic Republic","Liechtenstein",0,1,17,35,36,40,43
"Malaysia","Liechtenstein",0,0,0,1,1,0,0
"Philippines","Liechtenstein",0,1,18,37,38,58,62
"Singapore","Liechtenstein",0,0,0,5,6,8,9
"Thailand","Liechtenstein",0,2,40,79,88,86,92
"Viet Nam","Liechtenstein",0,0,0,11,12,13,14
"Armenia","Liechtenstein",0,0,0,7,9,9,10
"Azerbaijan","Liechtenstein",0,0,0,0,1,0,0
"Georgia","Liechtenstein",0,0,0,0,1,2,2
"Iraq","Liechtenstein",0,0,0,1,5,10,11
"Israel","Liechtenstein",0,0,0,6,6,3,3
"Jordan","Liechtenstein",0,0,0,1,2,5,5
"Kuwait","Liechtenstein",0,0,0,1,1,0,0
"Syrian Arab Republic","Liechtenstein",0,0,0,3,7,32,34
"Türkiye","Liechtenstein",820,1158,870,585,608,581,621
"United Arab Emirates","Liechtenstein",0,0,0,1,3,2,2
"Belarus","Liechtenstein",0,0,0,4,4,3,3
"Bulgaria","Liechtenstein",18,24,16,10,14,20,21
"Czechia","Liechtenstein",9,13,33,54,58,63,67
"Hungary","Liechtenstein",6,9,28,49,70,80,86
"Poland","Liechtenstein",11,15,30,47,60,76,81
"Republic of Moldova*","Liechtenstein",0,0,0,4,6,7,7
"Romania","Liechtenstein",2,8,13,19,29,37,40
"Russian Federation","Liechtenstein",6,20,31,44,53,69,74
"Slovakia","Liechtenstein",18,24,26,30,44,55,59
"Ukraine*","Liechtenstein",3,9,14,20,38,61,65
"Denmark*","Liechtenstein",16,22,18,15,16,15,16
"Estonia","Liechtenstein",13,17,9,2,2,1,1
"Finland*","Liechtenstein",1,1,4,9,8,8,9
"Iceland","Liechtenstein",1,1,1,2,1,0,0
"Ireland","Liechtenstein",1,9,8,9,17,18,19
"Latvia","Liechtenstein",0,0,0,7,6,7,7
"Lithuania","Liechtenstein",0,0,0,1,4,3,3
"Norway*","Liechtenstein",6,13,9,6,6,7,7
"Sweden","Liechtenstein",22,24,23,24,25,25,27
"United Kingdom*","Liechtenstein",27,47,51,57,67,65,70
"Albania","Liechtenstein",0,0,0,0,0,2,2
"Andorra","Liechtenstein",0,0,0,0,1,0,0
"Bosnia and Herzegovina","Liechtenstein",297,419,357,297,306,299,320
"Croatia","Liechtenstein",111,157,143,130,118,115,123
"Greece","Liechtenstein",86,102,75,49,46,47,50
"Italy","Liechtenstein",806,1471,1185,878,860,861,921
"Malta","Liechtenstein",0,0,0,1,3,3,3
"Montenegro","Liechtenstein",78,110,55,1,4,5,5
"North Macedonia","Liechtenstein",436,614,344,75,88,95,102
"Portugal","Liechtenstein",134,640,513,387,424,424,453
"Serbia*","Liechtenstein",379,536,335,347,397,428,458
"Slovenia","Liechtenstein",53,73,92,113,109,107,114
"Spain*","Liechtenstein",191,585,429,274,275,267,285
"Austria","Liechtenstein",2021,2608,3109,3615,3829,3983,4260
"Belgium","Liechtenstein",1,22,31,41,40,43,46
"France*","Liechtenstein",66,73,93,115,125,129,138
"Germany","Liechtenstein",978,1489,1560,1635,1787,1911,2044
"Luxembourg","Liechtenstein",8,6,5,5,3,2,2
"Monaco","Liechtenstein",0,0,0,0,1,0,0
"Netherlands*","Liechtenstein",40,62,64,68,75,80,86
"Switzerland","Liechtenstein",4128,4823,8532,12215,12882,14437,15441
"Bahamas","Liechtenstein",0,0,0,3,3,2,2
"Cuba","Liechtenstein",0,0,0,7,9,10,11
"Dominican Republic","Liechtenstein",0,2,32,64,73,92,98
"Haiti","Liechtenstein",0,0,0,0,1,0,0
"Jamaica","Liechtenstein",0,0,0,2,3,1,1
"Saint Lucia","Liechtenstein",0,0,0,1,1,0,0
"Trinidad and Tobago","Liechtenstein",0,0,0,0,1,1,1
"Costa Rica","Liechtenstein",0,0,0,3,5,4,4
"El Salvador","Liechtenstein",0,0,0,1,1,1,1
"Guatemala","Liechtenstein",0,0,0,4,5,0,0
"Honduras","Liechtenstein",0,0,0,1,1,0,0
"Mexico","Liechtenstein",0,0,10,21,24,32,34
"Nicaragua","Liechtenstein",0,0,0,3,3,3,3
"Panama","Liechtenstein",0,0,0,6,7,6,6
"Argentina","Liechtenstein",0,0,9,19,26,24,26
"Bolivia (Plurinational State of)","Liechtenstein",0,0,0,1,1,0,0
"Brazil","Liechtenstein",36,65,103,143,169,201,215
"Chile","Liechtenstein",0,0,0,4,8,6,6
"Colombia","Liechtenstein",0,1,15,30,41,43,46
"Ecuador","Liechtenstein",0,0,0,10,11,12,13
"Paraguay","Liechtenstein",0,0,0,2,2,2,2
"Peru","Liechtenstein",0,0,0,14,15,14,15
"Uruguay","Liechtenstein",0,0,0,0,2,0,0
"Venezuela (Bolivarian Republic of)","Liechtenstein",0,0,0,13,16,20,21
"Canada","Liechtenstein",0,0,0,13,15,16,17
"United States of America*","Liechtenstein",20,60,91,124,129,147,157
"Australia*","Liechtenstein",0,0,0,8,12,9,10
"New Zealand*","Liechtenstein",0,0,0,2,4,6,6
"Burundi","Luxembourg",0,0,0,0,0,98,113
"Comoros","Luxembourg",0,0,0,0,0,16,18
"Djibouti","Luxembourg",0,0,0,0,0,10,12
"Eritrea","Luxembourg",0,0,0,0,0,701,810
"Ethiopia","Luxembourg",0,0,0,0,0,244,282
"Kenya","Luxembourg",0,0,0,0,0,111,128
"Madagascar","Luxembourg",0,0,0,0,0,195,225
"Malawi","Luxembourg",0,0,0,0,0,11,13
"Mauritius","Luxembourg",51,46,39,34,51,434,501
"Mozambique","Luxembourg",0,0,0,0,0,339,392
"Rwanda","Luxembourg",24,22,19,17,25,188,217
"Seychelles","Luxembourg",0,0,0,0,0,9,10
"Somalia","Luxembourg",0,0,0,0,0,77,89
"Uganda","Luxembourg",0,0,0,0,0,35,40
"United Republic of Tanzania","Luxembourg",0,0,0,0,0,24,28
"Zambia","Luxembourg",0,0,0,0,0,21,24
"Zimbabwe","Luxembourg",0,0,0,0,0,71,82
"Angola","Luxembourg",0,0,0,0,0,1061,1226
"Cameroon","Luxembourg",58,53,45,39,59,1234,1425
"Central African Republic","Luxembourg",0,0,0,0,0,35,40
"Chad","Luxembourg",0,0,0,0,0,12,14
"Congo","Luxembourg",0,0,0,0,0,299,345
"Democratic Republic of the Congo","Luxembourg",94,85,74,64,97,923,1066
"Equatorial Guinea","Luxembourg",0,0,0,0,0,8,9
"Gabon","Luxembourg",0,0,0,0,0,81,94
"Sao Tome and Principe","Luxembourg",0,0,0,0,0,166,192
"Algeria","Luxembourg",98,88,76,66,100,1113,1286
"Egypt","Luxembourg",25,22,19,17,25,347,401
"Libya","Luxembourg",0,0,0,0,0,80,92
"Morocco","Luxembourg",125,216,186,160,244,2499,2887
"Sudan","Luxembourg",0,0,0,0,0,102,118
"Tunisia","Luxembourg",114,118,102,88,134,1212,1400
"Botswana","Luxembourg",0,0,0,0,0,1,1
"Eswatini","Luxembourg",0,0,0,0,0,1,1
"Namibia","Luxembourg",0,0,0,0,0,14,16
"South Africa","Luxembourg",45,41,35,30,45,659,761
"Benin","Luxembourg",0,0,0,0,0,131,151
"Burkina Faso","Luxembourg",0,0,0,0,0,69,80
"Cabo Verde","Luxembourg",1148,1422,1234,1060,1617,7108,8211
"Côte d'Ivoire","Luxembourg",0,0,0,0,0,445,514
"Gambia","Luxembourg",0,0,0,0,0,76,88
"Ghana","Luxembourg",0,0,0,0,0,67,77
"Guinea","Luxembourg",0,0,0,0,0,419,484
"Guinea-Bissau","Luxembourg",0,0,0,0,0,1516,1751
"Liberia","Luxembourg",0,0,0,0,0,39,45
"Mali","Luxembourg",0,0,0,0,0,79,91
"Mauritania","Luxembourg",0,0,0,0,0,11,13
"Niger","Luxembourg",0,0,0,0,0,35,40
"Nigeria","Luxembourg",0,0,0,0,0,327,378
"Senegal","Luxembourg",29,26,22,20,30,703,812
"Sierra Leone","Luxembourg",0,0,0,0,0,20,23
"Togo","Luxembourg",0,0,0,0,0,460,531
"Kazakhstan","Luxembourg",0,0,0,0,0,207,239
"Kyrgyzstan","Luxembourg",0,0,0,0,0,47,54
"Tajikistan","Luxembourg",0,0,0,0,0,22,25
"Turkmenistan","Luxembourg",0,0,0,0,0,19,22
"Uzbekistan","Luxembourg",0,0,0,0,0,119,137
"China","Luxembourg",1017,927,804,691,1054,4295,4961
"Dem. People's Republic of Korea","Luxembourg",0,0,0,0,0,15,17
"Japan","Luxembourg",336,249,215,185,282,588,679
"Mongolia","Luxembourg",0,0,0,0,0,42,49
"Republic of Korea","Luxembourg",49,44,37,32,48,983,1136
"Afghanistan","Luxembourg",0,0,0,0,0,433,500
"Bangladesh","Luxembourg",29,26,22,20,30,142,164
"Bhutan","Luxembourg",0,0,0,0,0,1,1
"India","Luxembourg",187,170,147,127,193,2791,3224
"Iran (Islamic Republic of)","Luxembourg",224,204,177,152,231,1074,1241
"Nepal","Luxembourg",30,27,23,20,30,362,418
"Pakistan","Luxembourg",0,0,0,0,0,279,322
"Sri Lanka","Luxembourg",0,0,0,0,0,85,98
"Cambodia","Luxembourg",0,0,0,0,0,69,80
"Indonesia","Luxembourg",0,0,0,0,0,121,140
"Lao People's Democratic Republic","Luxembourg",0,0,0,0,0,51,59
"Malaysia","Luxembourg",26,23,19,17,25,111,128
"Myanmar","Luxembourg",0,0,0,0,0,9,10
"Philippines","Luxembourg",183,166,144,124,189,891,1029
"Singapore","Luxembourg",0,0,0,0,0,149,172
"Thailand","Luxembourg",168,153,132,114,173,644,744
"Viet Nam","Luxembourg",70,63,54,47,71,570,658
"Armenia","Luxembourg",0,0,0,0,0,120,139
"Azerbaijan","Luxembourg",0,0,0,0,0,192,222
"Bahrain","Luxembourg",0,0,0,0,0,9,10
"Cyprus","Luxembourg",3,2,21,41,62,144,166
"Georgia","Luxembourg",0,0,0,0,0,97,112
"Iraq","Luxembourg",0,0,0,0,0,1028,1188
"Israel","Luxembourg",40,37,31,27,41,236,273
"Jordan","Luxembourg",0,0,0,0,0,47,54
"Kuwait","Luxembourg",0,0,0,0,0,47,54
"Lebanon","Luxembourg",34,30,26,23,35,341,394
"Oman","Luxembourg",0,0,0,0,0,5,6
"Qatar","Luxembourg",0,0,0,0,0,9,10
"Saudi Arabia","Luxembourg",0,0,0,0,0,59,68
"State of Palestine","Luxembourg",0,0,0,0,0,31,36
"Syrian Arab Republic","Luxembourg",0,0,0,0,0,1839,2124
"Türkiye","Luxembourg",194,177,153,132,201,1435,1658
"United Arab Emirates","Luxembourg",0,0,0,0,0,77,89
"Yemen","Luxembourg",0,0,0,0,0,19,22
"Belarus","Luxembourg",42,38,32,28,42,324,374
"Bulgaria","Luxembourg",42,96,334,576,878,1710,1975
"Czechia","Luxembourg",76,83,336,594,906,1061,1226
"Hungary","Luxembourg",58,122,414,711,1084,1818,2100
"Poland","Luxembourg",722,570,1310,2065,3150,5051,5835
"Republic of Moldova*","Luxembourg",0,0,0,0,0,588,679
"Romania","Luxembourg",106,303,717,1140,1739,5225,6036
"Russian Federation","Luxembourg",377,344,298,256,390,2780,3211
"Slovakia","Luxembourg",69,63,262,464,707,869,1004
"Ukraine*","Luxembourg",169,154,133,115,175,1471,1699
"Denmark*","Luxembourg",1263,1630,1637,1662,2535,1598,1846
"Estonia","Luxembourg",18,16,179,345,526,597,690
"Finland*","Luxembourg",243,653,749,854,1302,1154,1333
"Iceland","Luxembourg",259,290,251,215,328,413,477
"Ireland","Luxembourg",412,765,910,1067,1627,1429,1651
"Latvia","Luxembourg",8,7,162,320,488,657,759
"Lithuania","Luxembourg",13,12,201,393,599,888,1026
"Norway*","Luxembourg",171,154,133,115,175,262,303
"Sweden","Luxembourg",456,967,1152,1350,2059,1460,1687
"United Kingdom*","Luxembourg",2355,3760,4047,4329,6604,5633,6507
"Albania","Luxembourg",290,264,229,197,300,1058,1222
"Andorra","Luxembourg",0,0,0,0,0,38,44
"Bosnia and Herzegovina","Luxembourg",2334,2130,1848,1587,2421,2732,3156
"Croatia","Luxembourg",400,365,316,271,413,874,1010
"Gibraltar*","Luxembourg",0,0,0,0,0,1,1
"Greece","Luxembourg",636,983,1083,1195,1823,3163,3654
"Italy","Luxembourg",12479,16274,14814,13517,20621,18878,21807
"Malta","Luxembourg",13,12,93,177,270,244,282
"Montenegro","Luxembourg",2301,5012,6563,5600,8543,2715,3136
"North Macedonia","Luxembourg",1957,304,264,227,346,605,699
"Portugal","Luxembourg",30614,50254,55878,62068,94732,75221,86893
"San Marino","Luxembourg",0,0,0,0,0,3,3
"Serbia*","Luxembourg",4602,2507,1929,3881,5920,3682,4253
"Slovenia","Luxembourg",54,49,181,317,483,599,692
"Spain*","Luxembourg",1911,2397,2495,2621,3998,5651,6528
"Austria","Luxembourg",512,469,548,634,967,1026,1185
"Belgium","Luxembourg",11205,12679,12758,12979,19800,21583,24933
"France*","Luxembourg",14367,17116,20304,23716,36180,42979,49649
"Germany","Luxembourg",12616,8612,8886,9259,14125,17080,19730
"Liechtenstein","Luxembourg",0,0,0,0,0,8,9
"Monaco","Luxembourg",0,0,0,0,0,50,58
"Netherlands*","Luxembourg",3092,3163,3027,2926,4463,3986,4604
"Switzerland","Luxembourg",646,468,406,349,532,1375,1588
"Antigua and Barbuda","Luxembourg",0,0,0,0,0,2,2
"Aruba*","Luxembourg",0,0,0,0,0,1,1
"Bahamas","Luxembourg",0,0,0,0,0,8,9
"Barbados","Luxembourg",0,0,0,0,0,6,7
"Cuba","Luxembourg",23,20,17,15,22,180,208
"Dominica","Luxembourg",112,101,88,76,115,2,2
"Dominican Republic","Luxembourg",35,31,26,23,35,514,594
"Grenada","Luxembourg",0,0,0,0,0,2,2
"Haiti","Luxembourg",0,0,0,0,0,77,89
"Jamaica","Luxembourg",0,0,0,0,0,30,35
"Saint Vincent and the Grenadines","Luxembourg",0,0,0,0,0,1,1
"Trinidad and Tobago","Luxembourg",0,0,0,0,0,22,25
"Costa Rica","Luxembourg",0,0,0,0,0,29,33
"El Salvador","Luxembourg",0,0,0,0,0,47,54
"Guatemala","Luxembourg",0,0,0,0,0,120,139
"Honduras","Luxembourg",0,0,0,0,0,24,28
"Mexico","Luxembourg",27,24,20,18,27,424,490
"Nicaragua","Luxembourg",0,0,0,0,0,17,20
"Panama","Luxembourg",0,0,0,0,0,24,28
"Argentina","Luxembourg",38,35,30,26,39,407,470
"Bolivia (Plurinational State of)","Luxembourg",0,0,0,0,0,70,81
"Brazil","Luxembourg",288,262,227,195,297,3722,4300
"Chile","Luxembourg",56,51,44,38,57,217,251
"Colombia","Luxembourg",26,23,19,17,25,515,595
"Ecuador","Luxembourg",0,0,0,0,0,202,233
"Guyana","Luxembourg",0,0,0,0,0,11,13
"Paraguay","Luxembourg",0,0,0,0,0,33,38
"Peru","Luxembourg",96,87,75,65,99,528,610
"Suriname","Luxembourg",0,0,0,0,0,21,24
"Uruguay","Luxembourg",0,0,0,0,0,91,105
"Venezuela (Bolivarian Republic of)","Luxembourg",25,22,19,17,25,548,633
"Bermuda*","Luxembourg",0,0,0,0,0,8,9
"Canada","Luxembourg",229,208,180,155,236,785,907
"United States of America*","Luxembourg",1098,965,836,718,1095,2972,3433
"Australia*","Luxembourg",74,67,58,50,76,287,332
"New Zealand*","Luxembourg",23,20,17,15,22,97,112
"Fiji","Luxembourg",0,0,0,0,0,4,5
"Papua New Guinea","Luxembourg",0,0,0,0,0,4,5
"Polynesia*","Luxembourg",0,0,0,0,0,4,5
"French Polynesia*","Luxembourg",0,0,0,0,0,4,5
"Italy","Monaco",3886,4480,4430,4443,5841,5978,6091
"France*","Monaco",7679,7134,6719,6399,7611,7790,7938
"Eritrea","Netherlands*",120,345,658,1185,5683,19068,27133
"Ethiopia","Netherlands*",6242,7456,7991,8655,11212,19412,22584
"Somalia","Netherlands*",4500,21618,14300,21728,27117,24874,25826
"Egypt","Netherlands*",6684,9303,11188,11933,13047,16892,20227
"Morocco","Netherlands*",128222,154195,168600,167568,168524,172458,176423
"South Africa","Netherlands*",8562,10949,12250,12881,13669,20331,31024
"Ghana","Netherlands*",8845,11037,12316,13337,13970,15285,16779
"China","Netherlands*",11645,22271,44711,53844,63431,73837,82477
"Afghanistan","Netherlands*",779,22120,32269,31418,33051,36035,42853
"India","Netherlands*",7592,10904,12310,17742,25575,48706,76806
"Iran (Islamic Republic of)","Netherlands*",6992,20709,23936,25769,29385,37422,44869
"Pakistan","Netherlands*",9069,10677,10897,11267,12083,14786,18061
"Indonesia","Netherlands*",188506,166871,154419,139220,124938,110625,100339
"Philippines","Netherlands*",4138,6908,8805,10819,12741,16246,19667
"Thailand","Netherlands*",3350,6341,10054,12271,14061,16051,17831
"Viet Nam","Netherlands*",8919,10529,12164,12171,12745,15002,16343
"Iraq","Netherlands*",1558,31854,35664,40977,40762,45677,48412
"Syrian Arab Republic","Netherlands*",1571,4493,6674,7027,26792,94377,153160
"Türkiye","Netherlands*",156544,179820,195962,197120,191653,199017,217388
"Bulgaria","Netherlands*",663,1762,3230,14187,21026,36749,58481
"Hungary","Netherlands*",3427,5243,5739,8979,13640,17686,22720
"Poland","Netherlands*",10219,16763,27403,62077,113415,159749,210981
"Romania","Netherlands*",1704,4292,6423,11685,17213,34356,55421
"Russian Federation","Netherlands*",12438,7762,31095,36404,3093,14654,36095
"Ukraine*","Netherlands*",28,122,443,720,1567,8677,120222
